emotion,arousal,dominance,valence,nsfw,file,text
47,0.6945991516113281,0.6548418998718262,0.6455446481704712,0,nen001_001,はい？呼びました？
48,0.6332799792289734,0.593464732170105,0.7523869872093201,0,nen001_002,驚かせたならごめんなさい。通りかかったときにちょうど名前が聞こえてきたので
49,0.5769298076629639,0.5458648204803467,0.3867647647857666,0,nen001_003,私に何か用ですか？
50,0.6078310012817383,0.5911628007888794,0.6662856340408325,0,nen001_004,いえ、少し気になっただけですから、別に怒っているわけじゃないです。気にしないで下さい
51,0.5665000081062317,0.5205876231193542,0.4392677247524261,0,nen001_005,それより仮屋さん、例の件ですが――
52,0.5969999432563782,0.5286555290222168,0.60405033826828,0,nen001_006,喜んでもらえたならなによりです
53,0.5958043336868286,0.5670667886734009,0.3887841701507568,0,nen001_007,また何かあったら、いつでも部室に来て下さい
54,0.6022074818611145,0.5620914697647095,0.570296049118042,0,nen001_008,大したことじゃないので。それより体調の方はもういいんですか？
55,0.5171340107917786,0.4916106462478637,0.5517261028289795,0,nen001_009,それはよかったです。他に困ったことはありますか？
56,0.5795712471008301,0.5474111437797546,0.5970652103424072,0,nen001_010,何かあったらいつでも話して下さい。学院のことじゃなく、私事に関することでも何でも
57,0.5545404553413391,0.5389614701271057,0.6387072801589966,0,nen001_011,はい、いつでもどうぞ
58,0.423610508441925,0.4236721396446228,0.3567989468574524,0,nen001_012,保科君も
59,0.5985984802246094,0.5897583961486816,0.6128988265991211,0,nen001_013,もし何か困ったことがあれば、力になりますから
60,0.4457834959030151,0.4593852460384369,0.3875552713871002,0,nen001_014,そうですか？私には、なにか悩み事があるように見えたりしましたけど……
61,0.543964684009552,0.5334334969520569,0.6672865152359009,0,nen001_015,――なんて、言ってみただけですから、深い意味はありませんよ
62,0.6189727783203125,0.5781242847442627,0.4892361760139465,0,nen001_016,いえ、そういうわけじゃなくって……ただ何となく。そんな気がしただけですから
63,0.6643180251121521,0.6184877157211304,0.69303297996521,0,nen001_017,あ、いえ、絶対に秘密というわけじゃないので気にしないで下さい
64,0.6131860613822937,0.5765150189399719,0.5719224214553833,0,nen001_018,好奇心だけで来られると困るので、本当に悩んでる人以外には、広めないようにお願いしているだけです
65,0.5155767202377319,0.4963947534561157,0.5454655289649963,0,nen001_019,そんな仰々しい話じゃなく……私は、オカ研に所属しているんです
66,0.5497606992721558,0.5210174918174744,0.5367215871810913,0,nen001_020,はい。そのオカ研です
67,0.5734983086585999,0.5582935214042664,0.4128294587135315,0,nen001_021,そうですよ。実は私たちが入学する前からあった部活なんです。今は部員がいなくて、所属してるのは私一人ですが
68,0.5572386384010315,0.5222606658935547,0.4009140133857727,0,nen001_022,なので最近は、学生会の方からは結構つつかれてて……活動も、発表などを意欲的にしているわけじゃありませんからね
69,0.5367114543914795,0.5008038282394409,0.4384157955646515,0,nen001_023,いえ、私は占いを。オカルトと言っても幅は広いので。それに部には私しかいませんから、結構好きにできるんです
70,0.6297252178192139,0.5830799341201782,0.415071427822113,0,nen001_024,さすがに白蛇占いはできませんよ
71,0.5942206978797913,0.5650407075881958,0.4197248220443725,0,nen001_025,一応。知ってはいますけど、私にできるのはタロットぐらいです。あくまで趣味程度ですから
72,0.5928224325180054,0.5732265114784241,0.4492684304714203,0,nen001_026,あくまで占いの延長線上のものですから。人生相談なんていうほど大層な物じゃありません
73,0.5280081033706665,0.5260061025619507,0.2465778738260269,0,nen001_027,でも……もし保科君も嫌いでなければ、いつでも部室に来て下さい
74,0.7165045142173767,0.6486047506332397,0.7700909972190857,0,nen001_028,あ、はい。すぐに行きます
75,0.5975191593170166,0.5175862312316895,0.6253781914710999,0,nen001_029,それじゃあ私はこれで
76,0.4290088415145874,0.3825384676456451,0.3038618564605713,0,nen001_030,あの、先生
77,0.542508602142334,0.5147398710250854,0.575349748134613,0,nen001_031,はい。気付いたらこんな時間になってしまって
